Week,Average,Company
4/1/2016,-1.221574912,ibm
4/8/2016,-1.333218322,ibm
4/16/2016,0.221905645,ibm
4/25/2016,-0.144445357,ibm
5/4/2016,-1.132731238,ibm
5/18/2016,1.011091861,ibm
5/25/2016,-3.211529561,ibm
6/14/2016,-5.976592301,ibm
6/23/2016,1.586562657,ibm
7/5/2016,-0.539619587,ibm
7/19/2016,-0.445598479,ibm
7/28/2016,-0.242130751,ibm
8/4/2016,-0.460122699,ibm
8/11/2016,2.283767773,ibm
9/5/2016,-4.460521822,ibm
9/29/2016,0.240384615,ibm
10/13/2016,-0.24232509,ibm
10/24/2016,1.501065325,ibm
11/7/2016,3.198959164,ibm
11/17/2016,-1.48004512,ibm
11/25/2016,-6.018044186,ibm
12/14/2016,-0.729960718,ibm
12/21/2016,0.18404908,ibm
12/29/2016,0.300461004,ibm
1/5/2017,2.203299989,ibm
1/23/2017,-1.43481708,ibm
1/30/2017,-0.764993895,ibm
2/7/2017,-2.849585316,ibm
2/15/2017,0.040238598,ibm
2/24/2017,4.255319149,ibm
3/3/2017,-3.280423281,ibm
3/10/2017,4.302203568,ibm
3/17/2017,-1.270200215,ibm
3/25/2017,1.374345669,ibm
4/11/2017,-0.911016385,ibm
4/19/2017,-0.77170418,ibm
2/18/2015,-1.316068642,intel
3/4/2015,-2.69874174,intel
3/19/2015,-1.8991519,intel
3/27/2015,-1.492537313,intel
4/8/2015,-1.706749418,intel
4/19/2015,-0.630940233,intel
5/4/2015,-0.731231113,intel
5/12/2015,-0.048556819,intel
5/21/2015,0.010484647,intel
6/1/2015,0.698187508,intel
6/9/2015,4.181184669,intel
6/22/2015,-1.735439431,intel
7/1/2015,-1.445466491,intel
7/8/2015,-2.786994031,intel
7/16/2015,1.873539011,intel
8/4/2015,0.298309856,intel
8/13/2015,0,intel
8/26/2015,-4.872715914,intel
9/8/2015,1.877934272,intel
9/18/2015,-1.039048208,intel
9/29/2015,-5.424063116,intel
10/14/2015,-3.607397523,intel
10/28/2015,0,intel
11/12/2015,0.797265195,intel
12/1/2015,-1.943462898,intel
12/9/2015,-3.069434878,intel
1/4/2016,-0.868941984,intel
1/11/2016,-1.342281879,intel
1/19/2016,0.76328243,intel
2/2/2016,-0.227790433,intel
2/9/2016,-1.141078838,intel
3/7/2016,-1.106244106,intel
3/17/2016,-0.833916771,intel
3/24/2016,0.367525016,intel
4/5/2016,-2.840079286,intel
4/12/2016,-3.024206813,intel
4/20/2016,0.134083813,intel
4/28/2016,-0.186654165,intel
5/27/2016,-1.86239341,intel
6/3/2016,-1.618619764,intel
6/13/2016,-1.236093943,intel
6/27/2016,-0.555555556,intel
7/11/2016,-0.405503802,intel
8/10/2016,-2.114164905,intel
8/20/2016,1.26120492,intel
9/1/2016,1.024207243,intel
9/13/2016,-2.165354331,intel
10/4/2016,1.5625,intel
10/11/2016,-1.413441465,intel
10/18/2016,0.230414747,intel
10/25/2016,1.547197814,intel
11/18/2016,2.931948527,intel
12/2/2016,1.090722216,intel
12/17/2016,-6.505576208,intel
12/31/2016,-2.056646358,intel
1/7/2017,-1.008446203,intel
1/30/2017,1.125487826,intel
2/22/2017,-1.62016192,intel
3/1/2017,-2.507374632,intel
3/10/2017,-2.66864803,intel
3/28/2017,1.076426265,intel
4/5/2017,2.672367718,intel
4/18/2017,0,intel
2/18/2015,-0.725388601,micron
3/31/2015,3.03030303,micron
7/14/2015,0,micron
1/8/2016,0.93676815,micron
3/31/2016,-5.405405405,micron
7/8/2016,0.139275766,micron
11/16/2016,-1.174496644,micron
12/22/2016,0,micron
2/18/2015,0.380960158,microsoft
2/26/2015,-2.766097968,microsoft
3/10/2015,-1.698444899,microsoft
3/18/2015,-0.486397375,microsoft
3/26/2015,-1.314467881,microsoft
4/2/2015,1.865676189,microsoft
4/14/2015,-1.594481948,microsoft
4/24/2015,0.316861646,microsoft
5/4/2015,-2.459937923,microsoft
5/13/2015,-1.493799105,microsoft
5/22/2015,-1.483548369,microsoft
5/29/2015,-1.231508058,microsoft
6/12/2015,-1.629734685,microsoft
6/19/2015,-2.222222222,microsoft
6/26/2015,-2.108936337,microsoft
7/6/2015,-1.365807215,microsoft
7/13/2015,-3.780515834,microsoft
7/20/2015,-0.266057824,microsoft
7/29/2015,0.651495152,microsoft
8/5/2015,-2.034303675,microsoft
8/12/2015,-1.282250245,microsoft
8/19/2015,-2.291500814,microsoft
8/26/2015,-0.889854948,microsoft
