¥éËDate,Close,,Open,High,Low,Volume
5/18/16,50.81,,50.48,51.14,50.3,24803172
5/19/16,50.32,,50.47,50.62,49.82,23722753
5/20/16,50.62,,50.48,51.22,50.4,23692434
5/23/16,50.03,,50.6,50.68,49.98,25999674
5/24/16,51.59,,50.7,51.71,50.4,34621638
5/25/16,52.12,,51.92,52.49,51.79,24040186
5/26/16,51.89,,51.93,51.98,51.36,24182929
5/27/16,52.32,,51.92,52.32,51.77,17653660
5/31/16,53,,52.26,53,52.08,37653081
6/1/16,52.85,,52.44,52.95,52.44,25324828
6/2/16,52.48,,52.64,52.74,51.84,22840779
6/3/16,51.79,,52.38,52.42,51.6,23368291
6/6/16,52.13,,51.99,52.35,51.89,18243271
6/7/16,52.1,,52.24,52.73,52.1,20866770
6/8/16,52.04,,52.02,52.44,51.87,21149438
6/9/16,51.62,,52,52,51.49,20305664
6/10/16,51.48,,51.05,52.05,51.04,25833151
6/13/16,50.14,,49.58,50.72,49.06,83217844
6/14/16,49.83,,49.9,50.1,49.57,42577106
6/15/16,49.69,,49.78,50.12,49.69,33757639
6/16/16,50.39,,49.52,50.47,49.51,31188605
6/17/16,50.13,,50.41,50.43,49.82,45710516
6/20/16,50.07,,50.64,50.83,50.03,35607946
6/21/16,51.19,,50.2,51.43,50.16,34097825
6/22/16,50.99,,51.08,51.46,50.95,28816848
6/23/16,51.91,,51.28,52.06,51.15,29028833
6/24/16,49.83,,49.81,50.94,49.52,133502985
6/27/16,48.43,,49.1,49.15,48.04,50576699
6/28/16,49.44,,48.92,49.47,48.67,38140658
6/29/16,50.54,,49.91,50.72,49.8,31304021
6/30/16,51.17,,50.72,51.3,50.5,28527781
7/1/16,51.16,,51.13,51.72,51.07,21400392
7/5/16,51.17,,50.83,51.28,50.74,24806351
7/6/16,51.38,,50.78,51.54,50.39,28167461
7/7/16,51.38,,51.42,51.61,51.07,19585194
7/8/16,52.3,,51.73,52.36,51.55,28391026
7/11/16,52.59,,52.5,52.83,52.47,22269203
7/12/16,53.21,,52.94,53.4,52.78,27317555
7/13/16,53.51,,53.56,53.86,53.18,25356841
7/14/16,53.74,,53.84,53.99,53.58,24545520
